location,routeName,lat,lon
Bến xe Gia Lâm,S01_1,21.0485414,105.8789776
Ngô Gia Khảm,S01_1,21.0482146,105.8766036
Ngọc Lâm,S01_1,21.0507862,105.8846737
Nguyễn Văn Cừ,S01_1,21.0541322,105.8856779
Cầu Chương Dương,S01_1,21.0375961,105.860363
Trần Nhật Duật,S01_1,21.0375961,105.860363
Yên Phụ,S01_1,21.2208344,105.7344265
quay đầu tại điểm trung chuyển Long Biên – Yên Phụ,S01_1,,
Hàng Đậu – Hàng Than – Quán Thánh,S01_1,,
Hàng Cót,S01_1,,
Hàng Gà,S01_1,21.0354958,105.8470494
Hàng Điếu,S01_1,21.0328143,105.846922
Đường Thành,S01_1,21.1367404,105.4194039
Phủ Doãn,S01_1,21.0283693,105.8469973
Triệu Quốc Đạt,S01_1,21.0264581,105.847602
Hai Bà Trưng,S01_1,21.013109,105.8517903
Lê Duẩn,S01_1,21.0141054,105.8413865
Khâm Thiên,S01_1,21.0185213,105.8389325
Ô Chợ Dừa,S01_1,21.0235614,105.8267102
Nguyễn Lương Bằng,S01_1,21.0159933,105.8284601
Tây Sơn – Cầu vượt Ngã tư Sở,S01_1,,
Nguyễn Trãi,S01_1,20.9727763,105.7815108
Trần Phú (Hà Đông),S01_1,20.976617,105.783598
Quang Trung (Hà Đông),S01_1,20.972467,105.7773312
Ba La,S01_1,20.9041699,105.5876793
Quốc lộ 6,S01_1,20.9290228,105.6815054
Bến xe Yên Nghĩa,S01_1,20.9500695,105.7472806
Bến xe Yên Nghĩa,S01_2,20.9500695,105.7472806
Quốc lộ 6,S01_2,20.9290228,105.6815054
Ba La,S01_2,20.9041699,105.5876793
Quang Trung (Hà Đông),S01_2,20.972467,105.7773312
Trần Phú (Hà Đông),S01_2,20.976617,105.783598
Nguyễn Trãi,S01_2,20.9727763,105.7815108
Ngã tư Sở,S01_2,21.0029772,105.8202406
Tây Sơn,S01_2,21.1410048,105.505651
Nguyễn Lương Bằng,S01_2,21.0159933,105.8284601
Khâm Thiên,S01_2,21.0185213,105.8389325
Nguyễn Thượng Hiền,S01_2,21.1410048,105.505651
Trần Bình Trọng,S01_2,21.01815,105.8438231
Trần Hưng Đạo – Quảng trường 1,S01_2,,
5,S01_2,10.8643598,106.7998835
Quán Sứ,S01_2,10.8643598,106.7998835
Ngõ Trạm,S01_2,21.0306946,105.8455657
Đường Thành,S01_2,21.1367404,105.4194039
Phùng Hưng,S01_2,20.9633082,105.7964527
Lê Văn Linh,S01_2,21.0374754,105.845784
Phùng Hưng (đường trong),S01_2,,
Phan Đình Phùng,S01_2,21.0417484,105.8356303
Hàng Đậu,S01_2,21.0405266,105.8490852
Trần Nhật Duật,S01_2,21.0375961,105.860363
Cầu Chương Dương,S01_2,21.0375961,105.860363
Nguyễn Văn Cừ,S01_2,21.0541322,105.8856779
Nguyễn Sơn,S01_2,21.0369497,105.8989779
Ngọc Lâm,S01_2,21.0507862,105.8846737
Ngô Gia Khảm,S01_2,21.0482146,105.8766036
Bến xe Gia Lâm,S01_2,21.0485414,105.8789776
